,0
1240,14.0
1241,12.0
1242,11.428571428571429
1243,10.857142857142858
1244,10.285714285714286
1245,9.714285714285715
1246,9.142857142857142
1247,8.571428571428571
1248,8.0
1249,8.0
1250,8.0
1251,8.0
1252,8.0
1253,9.0
1254,9.0
1255,11.0
1256,12.0
1257,13.0
1258,14.0
1259,15.0
1260,15.0
1261,16.0
1262,17.0
1263,17.0
1264,17.0
1265,18.0
1266,19.0
1267,20.0
1268,21.0
1269,21.0
1270,21.0
1271,22.0
1272,21.0
1273,20.0
1274,20.0
1275,19.0
1276,19.0
1277,19.0
1278,19.0
1279,19.0
1280,18.0
1281,18.0
1282,17.0
1283,17.0
1284,16.0
1285,15.0
1286,14.0
1287,13.0
1288,13.0
1289,13.0
1290,13.0
1291,13.0
1292,12.0
1293,11.0
1294,11.333333333333334
1295,11.666666666666666
1296,12.0
1297,12.0
1298,12.0
1299,12.0
1300,11.5
1301,11.0
1302,13.0
1303,14.0
1304,15.5
1305,17.0
1306,17.0
1307,18.0
1308,19.0
1309,19.0
1310,20.0
1311,21.0
1312,21.0
1313,21.0
1314,21.5
1315,22.0
1316,22.0
1317,23.0
1318,23.0
1319,23.0
1320,23.0
1321,23.0
1322,23.0
1323,23.0
1324,22.0
1325,22.0
1326,21.0
1327,22.0
1328,20.0
1329,19.0
1330,18.0
1331,17.0
1332,15.0
1333,14.0
1334,15.0
1335,15.0
1336,15.0
1337,15.0
1338,15.0
1339,15.0
1340,14.5
1341,14.0
1342,14.0
1343,14.0
1344,14.0
1345,15.0
1346,15.0
1347,14.0
1348,14.0
1349,14.0
1350,15.0
1351,16.0
1352,17.0
1353,18.0
1354,18.5
1355,19.0
1356,20.0
1357,21.0
1358,21.0
1359,21.5
1360,22.0
1361,22.5
1362,23.0
1363,23.0
1364,23.0
1365,22.0
1366,22.0
1367,23.0
1368,24.0
1369,25.0
1370,25.0
1371,25.0
1372,24.0
1373,23.0
1374,23.0
1375,23.0
1376,23.0
1377,21.0
1378,19.0
1379,16.0
1380,16.0
1381,15.0
1382,14.5
1383,14.0
1384,15.0
1385,12.0
1386,12.0
1387,12.0
1388,11.666666666666666
1389,11.333333333333334
1390,11.0
1391,11.0
1392,12.0
1393,11.0
1394,10.0
1395,10.5
1396,11.0
1397,12.0
1398,13.0
1399,15.0
1400,17.0
1401,18.0
1402,19.0
1403,20.0
1404,21.0
1405,22.0
1406,22.0
1407,23.0
1408,24.0
1409,24.0
1410,24.0
1411,25.0
1412,25.0
1413,25.0
1414,25.0
1415,26.0
1416,26.0
1417,25.0
1418,26.0
1419,24.0
1420,24.0
1421,23.0
1422,22.0
1423,22.0
1424,21.0
1425,20.0
1426,19.0
1427,17.0
1428,17.0
1429,17.0
1430,17.0
1431,17.0
1432,16.0
1433,15.0
1434,15.0
1435,15.0
1436,14.666666666666666
1437,14.333333333333334
1438,14.0
1439,14.0
1440,13.0
1441,13.0
1442,14.0
1443,13.0
1444,13.5
1445,14.0
1446,15.0
1447,16.0
1448,17.0
1449,17.5
1450,18.0
1451,18.0
1452,19.0
1453,19.0
1454,19.5
1455,20.0
1456,21.0
1457,21.5
1458,22.0
1459,23.0
1460,23.0
1461,24.0
1462,23.0
1463,24.0
1464,24.0
1465,24.0
1466,24.0
1467,24.0
1468,23.0
1469,22.0
1470,20.0
1471,18.0
1472,18.0
1473,18.0
1474,18.0
1475,17.0
1476,18.0
1477,17.0
1478,18.0
1479,18.0
1480,18.0
1481,17.0
1482,17.5
1483,18.0
1484,18.0
1485,18.0
1486,17.0
1487,17.0
